comment,cleaning,normalisasi,tokenize,stopword
AI yang buat programmer buat mempermudah pekerjaan ❤,ai yang buat programmer buat mempermudah pekerjaan,artificialintelligence yang buat programmer buat mempermudah pekerjaan,"['artificialintelligence', 'yang', 'buat', 'programmer', 'buat', 'mempermudah', 'pekerjaan']",artificialintelligence programmer mempermudah pekerjaan
Kan banyak AI bayak harus di coding jadi harus di coding sama manusia,kan banyak ai bayak harus di coding jadi harus di coding sama manusia,kan banyak artificialintelligence bayak harus di coding jadi harus di coding sama manusia,"['kan', 'banyak', 'artificialintelligence', 'bayak', 'harus', 'di', 'coding', 'jadi', 'harus', 'di', 'coding', 'sama', 'manusia']",artificialintelligence bayak coding coding manusia
"saya yang jurusannya komputer juga merasa AI seperti chatgpt itu membantu banget, kalo misal mesti bikin tugas program dalam C, java, ataupun C++",saya yang jurusannya komputer juga merasa ai seperti chatgpt itu membantu banget kalo misal mesti bikin tugas program dalam c java ataupun c,saya yang jurusannya komputer juga merasa artificialintelligence seperti chatgpt itu membantu banget kalau misal mesti bikin tugas program dalam sih java ataupun sih,"['saya', 'yang', 'jurusannya', 'komputer', 'juga', 'merasa', 'artificialintelligence', 'seperti', 'chatgpt', 'itu', 'membantu', 'banget', 'kalau', 'misal', 'mesti', 'bikin', 'tugas', 'program', 'dalam', 'sih', 'java', 'ataupun', 'sih']",jurusannya komputer artificialintelligence chatgpt membantu banget mesti bikin tugas program sih java sih
"ga akan pernah gantikan manusia. <br>manusia biadab, AI tidak. <br>kwkwkwkkw<br>canda..",ga akan pernah gantikan manusia manusia biadab ai tidak kwkwkwkkw canda,tidak akan pernah gantikan manusia manusia biadab artificialintelligence tidak kwkwkwkkw canda,"['tidak', 'akan', 'pernah', 'gantikan', 'manusia', 'manusia', 'biadab', 'artificialintelligence', 'tidak', 'kwkwkwkkw', 'canda']",gantikan manusia manusia biadab artificialintelligence kwkwkwkkw canda
yang penting belajar,yang penting belajar,yang penting belajar,"['yang', 'penting', 'belajar']",belajar
Manusia sok tau,manusia sok tau,manusia sok tau,"['manusia', 'sok', 'tau']",manusia sok tau
Bro yg blng sediri gunakan ai sebagai alat,bro yg blng sediri gunakan ai sebagai alat,bro yang bilang sediri gunakan artificialintelligence sebagai alat,"['bro', 'yang', 'bilang', 'sediri', 'gunakan', 'artificialintelligence', 'sebagai', 'alat']",bro bilang sediri artificialintelligence alat
"Tetap kepake sih basic2 bahasa pemrograman, karena pasti kalau mau lamar kerja diperusahaan lu harus bisa jelasin portofoliolu mereka ga bakal terima jawaban ini semua dibuat pake AI😅",tetap kepake sih basic bahasa pemrograman karena pasti kalau mau lamar kerja diperusahaan lu harus bisa jelasin portofoliolu mereka ga bakal terima jawaban ini semua dibuat pake ai,tetap kepake sih basic bahasa pemrograman karena pasti kalau mau lamar kerja diperusahaan kamu harus bisa jelasin portofoliolu mereka tidak bakal terima jawaban ini semua dibuat pakai artificialintelligence,"['tetap', 'kepake', 'sih', 'basic', 'bahasa', 'pemrograman', 'karena', 'pasti', 'kalau', 'mau', 'lamar', 'kerja', 'diperusahaan', 'kamu', 'harus', 'bisa', 'jelasin', 'portofoliolu', 'mereka', 'tidak', 'bakal', 'terima', 'jawaban', 'ini', 'semua', 'dibuat', 'pakai', 'artificialintelligence']",kepake sih basic bahasa pemrograman lamar kerja diperusahaan jelasin portofoliolu terima pakai artificialintelligence
AI sih menurut ku utk mempermudah bukan mengganti berbagai hal,ai sih menurut ku utk mempermudah bukan mengganti berbagai hal,artificialintelligence sih menurut ku untuk mempermudah bukan mengganti berbagai hal,"['artificialintelligence', 'sih', 'menurut', 'ku', 'untuk', 'mempermudah', 'bukan', 'mengganti', 'berbagai', 'hal']",artificialintelligence sih ku mempermudah mengganti
Tetap kita harus paham apa yang kita buat,tetap kita harus paham apa yang kita buat,tetap kita harus paham apa yang kita buat,"['tetap', 'kita', 'harus', 'paham', 'apa', 'yang', 'kita', 'buat']",paham
Keunikan dan kesempurnaan manusia hasil ciptaan Tuhan tidak akan ada yang bisa menggantikan kecuali pencipta NYA sendiri,keunikan dan kesempurnaan manusia hasil ciptaan tuhan tidak akan ada yang bisa menggantikan kecuali pencipta nya sendiri,keunikan dan kesempurnaan manusia hasil ciptaan tuhan tidak akan ada yang bisa menggantikan kecuali pencipta ya sendiri,"['keunikan', 'dan', 'kesempurnaan', 'manusia', 'hasil', 'ciptaan', 'tuhan', 'tidak', 'akan', 'ada', 'yang', 'bisa', 'menggantikan', 'kecuali', 'pencipta', 'ya', 'sendiri']",keunikan kesempurnaan manusia hasil ciptaan tuhan menggantikan kecuali pencipta ya
Coding pake AI tetap butuh penguasaan fundamental. Logikanya bagaimana kita bisa tahu hasil yang digenerate Gen AI itu benar jika kita ga paham ?. Walaupun dulu ga ada Gen AI tapi bisa produktif dengan membuat rule-based code generator sendiri. Jadi coding skill adalah problem solving skill.,coding pake ai tetap butuh penguasaan fundamental logikanya bagaimana kita bisa tahu hasil yang digenerate gen ai itu benar jika kita ga paham walaupun dulu ga ada gen ai tapi bisa produktif dengan membuat rule based code generator sendiri jadi coding skill adalah problem solving skill,coding pakai artificialintelligence tetap butuh penguasaan fundamental logikanya bagaimana kita bisa tahu hasil yang digenerate gen artificialintelligence itu benar jika kita tidak paham walaupun dulu tidak ada gen artificialintelligence tapi bisa produktif dengan membuat rule based code generator sendiri jadi coding skill adalah problem solving skill,"['coding', 'pakai', 'artificialintelligence', 'tetap', 'butuh', 'penguasaan', 'fundamental', 'logikanya', 'bagaimana', 'kita', 'bisa', 'tahu', 'hasil', 'yang', 'digenerate', 'gen', 'artificialintelligence', 'itu', 'benar', 'jika', 'kita', 'tidak', 'paham', 'walaupun', 'dulu', 'tidak', 'ada', 'gen', 'artificialintelligence', 'tapi', 'bisa', 'produktif', 'dengan', 'membuat', 'rule', 'based', 'code', 'generator', 'sendiri', 'jadi', 'coding', 'skill', 'adalah', 'problem', 'solving', 'skill']",coding pakai artificialintelligence butuh penguasaan fundamental logikanya hasil digenerate gen artificialintelligence paham gen artificialintelligence produktif rule based code generator coding skill problem solving skill
"Gak semudah itu ngoding dengan AI, ada triknya dan itu tidak mudah",gak semudah itu ngoding dengan ai ada triknya dan itu tidak mudah,tidak semudah itu coding dengan artificialintelligence ada triknya dan itu tidak mudah,"['tidak', 'semudah', 'itu', 'coding', 'dengan', 'artificialintelligence', 'ada', 'triknya', 'dan', 'itu', 'tidak', 'mudah']",semudah coding artificialintelligence triknya mudah
"bener bangett, gw akhirnya belajar ngoding sejak lulus karena penasaran doang. cuma modal belajar di YouTube, Al, Course gratongg, sama komunitas cepet banget weh, udah bisa buat project kecil²an (meski pasti fundamental nya masih ibaratnya gundul, lupa², harus buka² google lagi, dan masih harus ngelihat refrensi, kaga pure codingan sendiri). meanwhile org yg belajar dari kecil atau dulu harus kursus dan ngeluangin waktu berjam-jam, keren kalian semuanya yg melalui itu!",bener bangett gw akhirnya belajar ngoding sejak lulus karena penasaran doang cuma modal belajar di youtube al course gratongg sama komunitas cepet banget weh udah bisa buat project kecil an meski pasti fundamental nya masih ibaratnya gundul lupa harus buka google lagi dan masih harus ngelihat refrensi kaga pure codingan sendiri meanwhile org yg belajar dari kecil atau dulu harus kursus dan ngeluangin waktu berjam jam keren kalian semuanya yg melalui itu,benar banget gue akhirnya belajar coding sejak lulus karena penasaran doang cuma modal belajar di youtube al course gratongg sama komunitas cepat banget weh sudah bisa buat project kecil an meski pasti fundamental ya masih ibaratnya gundul lupa harus buka google lagi dan masih harus melihat refrensi kagak pure coding sendiri meanwhile orang yang belajar dari kecil atau dulu harus kursus dan ngeluangin waktu berjam jam keren kalian semuanya yang melalui itu,"['benar', 'banget', 'gue', 'akhirnya', 'belajar', 'coding', 'sejak', 'lulus', 'karena', 'penasaran', 'doang', 'cuma', 'modal', 'belajar', 'di', 'youtube', 'al', 'course', 'gratongg', 'sama', 'komunitas', 'cepat', 'banget', 'weh', 'sudah', 'bisa', 'buat', 'project', 'kecil', 'an', 'meski', 'pasti', 'fundamental', 'ya', 'masih', 'ibaratnya', 'gundul', 'lupa', 'harus', 'buka', 'google', 'lagi', 'dan', 'masih', 'harus', 'melihat', 'refrensi', 'kagak', 'pure', 'coding', 'sendiri', 'meanwhile', 'orang', 'yang', 'belajar', 'dari', 'kecil', 'atau', 'dulu', 'harus', 'kursus', 'dan', 'ngeluangin', 'waktu', 'berjam', 'jam', 'keren', 'kalian', 'semuanya', 'yang', 'melalui', 'itu']",banget gue belajar coding lulus penasaran doang modal belajar youtube al course gratongg komunitas cepat banget weh project an fundamental ya gundul lupa buka google refrensi kagak pure coding meanwhile orang belajar kursus ngeluangin berjam jam keren
"AI itu perpustakaan modern bukan jawaban untuk semua masalah wkkwkw, AI gk punya fundamental coder itu sendiri.",ai itu perpustakaan modern bukan jawaban untuk semua masalah wkkwkw ai gk punya fundamental coder itu sendiri,artificialintelligence itu perpustakaan modern bukan jawaban untuk semua masalah wkkwkw artificialintelligence tidak punya fundamental coder itu sendiri,"['artificialintelligence', 'itu', 'perpustakaan', 'modern', 'bukan', 'jawaban', 'untuk', 'semua', 'masalah', 'wkkwkw', 'artificialintelligence', 'tidak', 'punya', 'fundamental', 'coder', 'itu', 'sendiri']",artificialintelligence perpustakaan modern wkkwkw artificialintelligence fundamental coder
